gene,p_value,coefficients,variance_explained
6720483E21Rik,0.9812741289594956,"[-0.026254   -0.01097481  0.01127344 -0.0172158  -0.02698032  0.07015148
 -0.98176322]","OrderedDict([('explained_deviance', 4.026799935274994e-06), ('McFadden', 0.9999967598848702), ('McFadden_adj', 5.461953275220921e-07)])"
Paqr8,0.8353954899923759,"[ 1.58719005e-03 -9.32850038e-04 -5.14038595e-03 -1.20163635e-02
 -6.02414521e-04  1.71048189e-02 -1.01979079e+00]","OrderedDict([('explained_deviance', 1.2187414472841773e-05), ('McFadden', 0.9999870695890173), ('McFadden_adj', 1.038832658406541e-05)])"
Efhc1,0.9927683823206238,"[-0.00876415 -0.00465112  0.00128877 -0.0116048  -0.00858429  0.03231559
 -0.97024542]","OrderedDict([('explained_deviance', 2.0527091771915806e-06), ('McFadden', 0.999998122227201), ('McFadden_adj', -8.936403641524038e-07)])"
Tram2,0.9999949248236414,"[-0.00461384 -0.0018143   0.00194287 -0.0048487  -0.00394921  0.01328318
 -0.97751305]","OrderedDict([('explained_deviance', 1.7064777535491515e-07), ('McFadden', 0.9999998573806591), ('McFadden_adj', -2.609439264222857e-06)])"
Tmem14a,0.9877182939492521,"[ 8.46413627e-04 -7.50124680e-04 -2.99126956e-03 -5.00319259e-03
 -4.54167271e-03  1.24398411e-02 -9.78528977e-01]","OrderedDict([('explained_deviance', 1.7086343981898011e-06), ('McFadden', 0.9999979857411755), ('McFadden_adj', -7.260551746490762e-07)])"
Gsta3,0.9688894410663599,"[-0.01201295 -0.0018255   0.01136353 -0.00277094 -0.00555833  0.01080418
 -0.9981566 ]","OrderedDict([('explained_deviance', 3.3635135390230886e-06), ('McFadden', 0.9999965069158779), ('McFadden_adj', 8.361234118403615e-07)])"
Kcnq5,0.8991318292173346,"[-0.02993471 -0.01203633  0.01301997 -0.02482224 -0.03461004  0.08838334
 -0.95768777]","OrderedDict([('explained_deviance', 9.110821566404859e-06), ('McFadden', 0.9999909044619879), ('McFadden_adj', 6.3080133614334954e-06)])"
Rims1,0.9812539215698092,"[ 4.66977372e-03  1.99975176e-03 -2.50949880e-03 -1.56519609e-03
 -9.55304718e-04 -1.63953067e-03 -9.65682915e-01]","OrderedDict([('explained_deviance', 2.230543793446671e-06), ('McFadden', 0.9999971278539136), ('McFadden_adj', 5.255980506380098e-08)])"
Gm29107,0.9991668282528942,"[ 0.01440415  0.00517998 -0.00734089  0.01182553  0.01523587 -0.03930464
 -0.98210091]","OrderedDict([('explained_deviance', 2.1159842863438527e-06), ('McFadden', 0.9999978177167994), ('McFadden_adj', -5.838654884016137e-07)])"
Ogfrl1,0.9945269497870276,"[ 0.00662447  0.00243671 -0.00283356  0.0088868   0.00552913 -0.02064355
 -0.98980985]","OrderedDict([('explained_deviance', 1.1156111344723385e-06), ('McFadden', 0.9999988822436742), ('McFadden_adj', -1.595096161155496e-06)])"
B3gat2,0.9945910470629491,"[ 6.26353745e-03  1.71766227e-03 -4.52111425e-03  1.95914144e-03
 -4.86439666e-04 -4.93279207e-03 -9.67727957e-01]","OrderedDict([('explained_deviance', 8.377115769953036e-07), ('McFadden', 0.999998924981746), ('McFadden_adj', -1.730903085528368e-06)])"
Smap1,0.8918359459423258,"[ 0.03185802  0.01199551 -0.01676156  0.01463445  0.0187529  -0.06047933
 -0.99866609]","OrderedDict([('explained_deviance', 5.748265023197696e-06), ('McFadden', 0.9999940232175267), ('McFadden_adj', 3.2830548435391904e-06)])"
Sdhaf4,0.6147850160787914,"[-0.01262065 -0.00283271  0.01174595  0.00796003 -0.00224689 -0.00200573
 -1.00498883]","OrderedDict([('explained_deviance', 1.7081617522451964e-05), ('McFadden', 0.9999809185237596), ('McFadden_adj', 1.6441613365669738e-05)])"
Fam135a,0.8892372503284726,"[-2.58537485e-03 -1.56940511e-04  4.11932320e-03  9.30321367e-03
  7.50253023e-03 -1.81827566e-02 -9.75285119e-01]","OrderedDict([('explained_deviance', 8.056953152868473e-06), ('McFadden', 0.9999900513216332), ('McFadden_adj', 7.154452660640409e-06)])"
